idFilm;Year;Title;Subject;Actor;Actress;Director;Popularity;Awards;Image;Length
1606;1953;Goon Show Movie, The;Comedy;Sellers, Peter;;;80;No;NicholasCage.png;75
1607;1975;Great McGonagall, The;Comedy;Sellers, Peter;;;72;No;NicholasCage.png;95
1608;1991;I'm All Right Jack;Comedy;Sellers, Peter;;;23;No;NicholasCage.png;101
1609;1991;Magic Christian, The;Comedy;Sellers, Peter;;;75;No;NicholasCage.png;101
1610;1960;Never Let Go;Action;Sellers, Peter;;;5;No;NicholasCage.png;91
1611;1991;Pink Panther, The;Comedy;Sellers, Peter;;;77;No;NicholasCage.png;121
1612;1991;Two-Way Stretch;Comedy;Sellers, Peter;;;7;No;NicholasCage.png;84
1613;1988;Face at the Window, The;Horror;Slaughter, Tod;;;79;No;NicholasCage.png;65
1614;1958;Tom Thumb;Science Fiction;Tamblyn, Russ;;;30;No;NicholasCage.png;92
1615;1989;Beartooth;Action;Taylor, Dub;;;70;No;NicholasCage.png;90
1616;1979;James Taylor in Concert;Music;Taylor, James;;;38;No;NicholasCage.png;90
1617;1942;Gangbusters;Drama;Taylor, Kent;;;31;No;NicholasCage.png;253
1618;1992;El Rublo de las Dos Caras;Action;Taylor, Robert;;;83;No;NicholasCage.png;
1619;1992;Law & Jake Wade, The;Drama;Taylor, Robert;;;68;No;NicholasCage.png;87
1620;1967;Chuka;Western;Taylor, Rod;;;47;No;NicholasCage.png;105
1621;1980;Cry of the Innocent;Drama;Taylor, Rod;;;13;No;NicholasCage.png;93
1622;1991;Edison the Man;Drama;Tracy, Spencer;;;19;No;spencerTracy.png;108
1623;1991;Keeper of the Flame;Drama;Tracy, Spencer;;;76;No;spencerTracy.png;101
1624;1991;Spencer Tracy Legacy, The;Comedy;Tracy, Spencer;;;44;No;spencerTracy.png;92
1625;1957;Cheyenne, The Iron Trail;Western;Walker, Clint;;;1;No;NicholasCage.png;60
1626;1992;Dawn Rider, The;Western;Wayne, John;;;44;No;johnWayne.png;56
1627;1993;Duke, The Films of John Wayne;Western;Wayne, John;;;70;No;johnWayne.png;
1628;1939;Frontier Horizon;Western;Wayne, John;;;73;No;johnWayne.png;55
1629;1934;Hell Town;Western;Wayne, John;;;23;No;johnWayne.png;54
1630;1932;Hurricane Express;Western;Wayne, John;;;7;No;johnWayne.png;
1631;1932;Hurricane Express, The;Action;Wayne, John;;;68;No;johnWayne.png;210
1632;1965;In Harm's Way;War;Wayne, John;;;66;No;johnWayne.png;165
1633;1991;John Wayne Collection, Red River, The;War;Wayne, John;;;49;No;johnWayne.png;
1634;1992;John Wayne Collector's Limited Edition;War;Wayne, John;;;3;No;johnWayne.png;
1635;1991;John Wayne Four Pack;Western;Wayne, John;;;58;No;johnWayne.png;
1636;1939;John Wayne Matinee Double Feature, No. 2;Western;Wayne, John;;;3;No;johnWayne.png;112
1637;1939;John Wayne Matinee Double Feature, No. 3;Western;Wayne, John;;;24;No;johnWayne.png;110
1638;1938;John Wayne Matinee Double Feature, No. 4;Western;Wayne, John;;;28;No;johnWayne.png;110
1639;1990;John Wayne Six Pack;Western;Wayne, John;;;87;No;johnWayne.png;
